phase,patterns,corpus,searcher,threads_label,tag,thr,bytes,matches,min_ms,mean_ms,median_ms,max_ms,cv_pct,mbps,gbps,wrk,pattern_count,automaton_states,automaton_kib,build_ms,warmup,iters,log_file
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,4,,4,1421183736,58367984,6873.277,6948.996,6896.776,7074.136,1.35,195.04,1.6361,4,44678,508896,518942.72,591.992,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,6,,6,1421183736,58367984,6088.696,6287.915,6331.410,6438.448,2.16,215.55,1.8081,6,44678,508896,518942.72,495.498,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,8,,8,1421183736,58367984,6344.362,6454.780,6469.092,6565.547,1.65,209.98,1.7614,8,44678,508896,518942.72,491.245,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,sequential,0,,0,1421183736,58367984,10307.433,10513.614,10334.323,10808.310,2.53,128.91,1.0814,1,44678,508896,518942.72,552.958,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__sequential__T0.log
A_speedup_curves,patterns_et_32,enron_corpus,sequential_flat,0,,0,1421183736,58367984,9530.684,9572.254,9569.278,9633.542,0.45,141.59,1.1878,1,44678,508896,518942.72,490.994,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__sequential_flat__T0.log
A_speedup_curves,patterns_et_32,enron_x8,pattern_sharded_prefix,1,,1,11369469888,466943872,76258.790,76369.601,76388.860,76463.579,0.10,141.98,1.1910,1,44678,508896,518942.72,492.800,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pattern_sharded_prefix__T1.log
A_speedup_curves,patterns_et_32,enron_x8,pattern_sharded_prefix,12,,12,11369469888,466943872,55955.474,58143.440,58522.364,60213.327,2.76,186.48,1.5643,12,44678,508896,518942.72,537.226,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pattern_sharded_prefix__T12.log
A_speedup_curves,patterns_et_32,enron_x8,pattern_sharded_prefix,4,,4,11369469888,466943872,50122.098,53593.995,54460.058,55360.775,4.15,202.31,1.6971,4,44678,508896,518942.72,529.138,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pattern_sharded_prefix__T4.log
A_speedup_curves,patterns_et_32,enron_x8,pattern_sharded_prefix,8,,8,11369469888,466943872,50178.888,51057.196,51053.628,52616.684,1.92,212.37,1.7814,8,44678,508896,518942.72,486.730,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pattern_sharded_prefix__T8.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_2d_sharded_chunked,1,,1,11369469888,466943872,75968.961,76070.976,76014.866,76225.119,0.15,142.53,1.1957,1,44678,508896,518942.72,500.361,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_2d_sharded_chunked__T1.log
